State;Date;Clinton;Trump;Johnson;Stein;McMullin;Margin of error;potential EVs
Alabama;September 27, 2016;32;48;0;0;0;2,0;9
Alaska;October 21–26, 2016;47;43;7;3;0;4,9;3
Arizona;November 4–6, 2016;45;47;5;2;0;4,9;11
Arkansas;October 18–25, 2016;36;59;0;0;0;4,1;6
California;November 4–6, 2016;58;35;3;2;0;4,9;55
Colorado;November 3–4, 2016;48;43;4;2;1;3,7;9
Connecticut;September 2–5, 2016;50;35;9;4;0;3,0;7
Delaware;September 16–28, 2016;51;30;7;2;0;4,1;3
Florida;November 6, 2016;46;50;2;1;0;3,3;29
Georgia;November 6, 2016;45;52;2;0;0;2,8;16
Idaho;October 23–24, 2016;29;48;6;0;10;4,0;4
Illinois;October 27–30, 2016;53;41;2;0;0;4,3;20
Indiana;November 1–3, 2016;37;48;9;0;0;4,0;11
Iowa;November 1–4, 2016;39;46;6;1;;3,5;6
Kansas;November 1–3, 2016;34;58;0;0;0;5,5;6
Kentucky;October 25–30, 2016;37;54;1;1;1;4,0;8
Louisiana;October 19–21, 2016;35;50;5;0;0;4,4;8
Maine;October 28–30, 2016;46;42;12;2;0;3,5;3
Maryland;September 27–30, 2016;63;27;4;2;0;4,0;10
Massachusetts;October 23 – November 2, 2016;56;26;8;3;0;5,0;11
Michigan;November 6, 2016;47;49;3;1;0;2,8;16
Minnesota;October 22–26, 2016;49;39;5;2;1;3,9;10
Missouri;November 4–5, 2016;41;47;7;2;0;3,5;10
Montana;October 10–12, 2016;36;46;11;0;0;3,2;3
Nebraska;September 25–27, 2016;29;56;7;1;0;3,6;4
Nevada;November 4–6, 2016;46;46;5;1;0;4,9;6
New Hampshire;November 3–6, 2016;49;38;6;1;0;3,7;4
New Jersey;October 27 – November 2, 2016;51;40;3;1;0;3,8;14
New Mexico;November 6, 2016;46;44;6;1;0;1,8;5
New York;November 3–4, 2016;51;34;5;2;0;4,5;29
North Carolina;November 4–6, 2016;44;44;3;0;0;3,5;15
North Dakota;September 12–17, 2016;32;43;8;1;0;4,9;3
Ohio;October 27 – November 5, 2016;39;46;7;3;0;3,2;18
Oklahoma;October 18–20, 2016;30;60;5;0;0;4,3;7
Oregon;October 24–29, 2016;41;34;4;2;0;4,4;7
Pennsylvania;November 3–6, 2016;46;40;7;2;0;2,8;20
Rhode Island;October 2–4, 2016;52;32;5;5;0;3,4;4
South Carolina;October 30–31, 2016;36;47;3;1;0;4,4;9
South Dakota;October 24–26, 2016;35;49;7;0;0;4,0;3
Tennessee;October 14–17, 2016;34;44;7;2;0;4,4;11
Texas;October 31 – November 1, 2016;35;49;5;4;0;3,6;38
Utah;November 3–5, 2016;30;40;4;0;25;2,7;6
Vermont;October 24–26, 2016;52;26;5;2;0;3,0;3
Virginia;November 1–6, 2016;48;42;3;1;2;3,6;13
Washington;November 4–6, 2016;55;39;0;0;0;4,9;12
West Virginia;September 13–17, 2016;28;60;0;0;0;5,0;13
Wisconsin;November 1–2, 2016;49;41;3;0;0;1,9;10
Wyoming;October 5–11, 2016;20;58;9;2;0;3,6;3
