Source,Date,Clinton,Trump,margin
UPI/CVoter,November 1 2016,49,46,3.0
YouGov/The Economist,November 4 2016,49,45,1.7
Bloomberg News/Selzer,November 4 2016,46,43,3.5
ABC News/Washington Post,November 3 2016,49,46,2.5
Fox News,November 3 2016,48,44,2.5
IBD/TIPP,November 3 2016,43,42,3.1
Monmouth University,November 3 2016,50,44,3.6
Ipsos/Reuters,November 2 2016,44,39,2.4
CBS News/New York Times,November 2 2016,47,43,3.0
NBC News/SurveyMonkey,October 31 2016,51,44,1.0
CCES/YouGov,October 4 2016,43,39,
NBC News/Wall Street Journal,November 3 2016,48,43,2.73
ABC News/Washington Post,November 2 2016,49,45,2.5
IBD/TIPP,November 2 2016,45,44,3.3
UPI/CVoter,October 30 2016,49,46,3.0
USC/Los Angeles Times,October 30 2016,43,48,4.5
ABC News/Washington Post,November 1 2016,49,44,2.5
IBD/TIPP,November 1 2016,46,43,3.5
Ipsos/Reuters,October 31 2016,44,40,2.4
UPI/CVoter,October 29 2016,49,48,3.0
USC/Los Angeles Times,October 29 2016,43,48,4.5
Fox News,November 1 2016,46,45,3.0
McClatchy/Marist,November 1 2016,46,44,3.2
Ipsos/Reuters,October 30 2016,44,39,2.6
ABC News/Washington Post,October 31 2016,49,45,3.0
IBD/TIPP,October 30 2016,45,44,3.3
UPI/CVoter,October 28 2016,49,48,3.0
ABC News/Washington Post,October 30 2016,49,46,3.0
Ipsos/Reuters,October 29 2016,45,39,2.6
IBD/TIPP,October 29 2016,44,44,3.4
UPI/CVoter,October 27 2016,49,48,3.0
ABC News/Washington Post,October 29 2016,49,47,3.0
CBS News/New York Times,October 28 2016,47,44,3.0
Ipsos/Reuters,October 28 2016,45,39,3.0
YouGov/The Economist,October 30 2016,48,45,3.2
IBD/TIPP,October 27 2016,44,44,3.4
UPI/CVoter,October 26 2016,49,48,3.0
USC/Los Angeles Times,October 26 2016,42,48,4.5
ABC News/Washington Post,October 28 2016,48,47,3.0
IBD/TIPP,October 26 2016,45,44,3.2
Politico/Morning Consult,October 29 2016,46,43,2.0
Politico/Morning Consult,October 27 2016,52,47,3.0
ABC News/Washington Post,October 27 2016,48,47,3.0
Ipsos/Reuters,October 26 2016,44,39,3.0
IBD/TIPP,October 25 2016,45,43,3.2
UPI/CVoter,October 24 2016,49,48,3.0
NBC News/SurveyMonkey,October 24 2016,51,44,1.0
ABC News/Washington Post,October 26 2016,49,47,3.0
IBD/TIPP,October 24 2016,45,41,3.3
UPI/CVoter,October 23 2016,48,48,3.0
Morning Consult,October 27 2016,46,41,2.0
ABC News/Washington Post,October 25 2016,46,45,3.0
IBD/TIPP,October 23 2016,46,41,3.3
ABC News/Washington Post,October 24 2016,49,46,3.0
IBD/TIPP,October 22 2016,45,42,3.3
Ipsos/Reuters,October 21 2016,42,36,3.0
USC/Los Angeles Times,October 21 2016,44,46,4.5
ABC News/Washington Post,October 23 2016,50,45,3.0
YouGov/The Economist,October 22 2016,49,46,3.1
IBD/TIPP,October 21 2016,44,42,3.3
UPI/CVoter,October 20 2016,49,47,3.0
Fox News,October 22 2016,49,44,2.5
ABC News/Washington Post,October 22 2016,51,44,3.0
Pew Research Center,October 20 2016,50,43,2.4
IBD/TIPP,October 20 2016,43,41,3.3
UPI/CVoter,October 19 2016,49,47,3.0
USC/Los Angeles Times,October 19 2016,44,45,4.5
CNBC,October 21 2016,47,37,3.5
ABC News,October 21 2016,51,43,3.0
Greenberg Quinlan Rosner,October 21 2016,53,41,3.27
Associated Press/GFK,October 20 2016,54,41,2.75
USA Today/Suffolk University,October 20 2016,49,39,3.0
Ipsos/Reuters,October 20 2016,43,37,3.3
IBD/TIPP,October 19 2016,43,42,3.6
ABC News,October 20 2016,53,41,3.0
CNN/ORC,October 20 2016,51,45,3.5
IBD/TIPP,October 18 2016,42,42,3.6
NBC News/SurveyMonkey,October 17 2016,50,44,1.0
UPI/CVoter,October 17 2016,49,46,3.0
ABC News,October 20 2016,53,41,3.5
IBD/TIPP,October 17 2016,42,43,3.6
IBD/TIPP,October 16 2016,42,42,3.6
Politico/Morning Consult,October 19 2016,46,40,3.0
American Research Group,October 17 2016,49,42,3.0
IBD/TIPP,October 15 2016,43,41,3.6
USC/Los Angeles Times,October 14 2016,44,45,4.5
Ipsos/Reuters,October 14 2016,44,40,3.0
IBD/TIPP,October 14 2016,43,41,3.6
Quinnipiac University,October 17 2016,50,44,3.1
YouGov/The Economist,October 15 2016,47,43,4.0
IBD/TIPP,October 13 2016,44,41,3.6
Fox News,October 15 2016,49,42,3.0
Bloomberg Politics,October 14 2016,50,41,3.1
Ipsos/Reuters,October 13 2016,43,39,3.2
Public Religion Research Institute/The Atlantic,October 12 2016,51,36,4.4
UPI/CVoter,October 11 2016,51,46,3.0
Monmouth University,October 14 2016,53,41,3.5
CBS News,October 12 2016,51,40,3.0
