code,date
cov_03_01,2020-03-01
cov_03_02,2020-03-02
cov_03_03,2020-03-03
cov_03_04,2020-03-04
cov_03_05,2020-03-05
cov_03_06,2020-03-06
cov_03_07,2020-03-07
cov_03_08,2020-03-08
cov_03_09,2020-03-09
cov_03_10,2020-03-10
cov_03_11,2020-03-11
cov_03_12,2020-03-12
cov_03_13,2020-03-13
cov_03_14,2020-03-14
cov_03_15,2020-03-15
cov_03_16,2020-03-16
cov_03_17,2020-03-17
cov_03_18,2020-03-18
cov_03_19,2020-03-19
cov_03_20,2020-03-20
cov_03_21,2020-03-21
cov_03_22,2020-03-22
cov_03_23,2020-03-23
cov_03_24,2020-03-24
cov_03_25,2020-03-25
cov_03_26,2020-03-26
cov_03_27,2020-03-27
cov_03_28,2020-03-28
cov_03_29,2020-03-29
cov_03_30,2020-03-30
cov_03_31,2020-03-31
cov_04_01,2020-04-01
cov_04_02,2020-04-02
cov_04_03,2020-04-03
cov_04_04,2020-04-04
cov_04_05,2020-04-05
cov_04_06,2020-04-06
cov_04_07,2020-04-07
cov_04_08,2020-04-08
cov_04_09,2020-04-09
cov_04_10,2020-04-10
cov_04_11,2020-04-11
cov_04_12,2020-04-12
cov_04_13,2020-04-13
cov_04_14,2020-04-14
cov_04_15,2020-04-15
cov_04_16,2020-04-16
cov_04_17,2020-04-17
cov_04_18,2020-04-18
cov_04_19,2020-04-19
cov_04_20,2020-04-20
cov_04_21,2020-04-21
cov_04_22,2020-04-22
cov_04_23,2020-04-23
cov_04_24,2020-04-24
cov_04_25,2020-04-25
cov_04_26,2020-04-26
cov_04_27,2020-04-27
cov_04_28,2020-04-28
cov_04_29,2020-04-29
cov_04_30,2020-04-30
cov_05_01,2020-05-01
cov_05_02,2020-05-02
cov_05_03,2020-05-03
cov_05_04,2020-05-04
cov_05_05,2020-05-05
cov_05_06,2020-05-06
cov_05_07,2020-05-07
cov_05_08,2020-05-08
cov_05_09,2020-05-09
cov_05_10,2020-05-10
cov_05_11,2020-05-11
cov_05_12,2020-05-12
cov_05_13,2020-05-13
cov_05_14,2020-05-14
cov_05_15,2020-05-15
cov_05_16,2020-05-16
cov_05_17,2020-05-17
cov_05_18,2020-05-18
cov_05_19,2020-05-19
cov_05_20,2020-05-20
cov_05_21,2020-05-21
cov_05_22,2020-05-22
cov_05_23,2020-05-23
cov_05_24,2020-05-24
cov_05_25,2020-05-25
cov_05_26,2020-05-26
cov_05_27,2020-05-27
cov_05_28,2020-05-28
cov_05_29,2020-05-29
cov_05_30,2020-05-30
cov_05_31,2020-05-31
cov_06_01,2020-06-01
cov_06_02,2020-06-02
cov_06_03,2020-06-03
cov_06_04,2020-06-04
cov_06_05,2020-06-05
cov_06_06,2020-06-06
cov_06_07,2020-06-07
cov_06_08,2020-06-08
cov_06_09,2020-06-09
cov_06_10,2020-06-10
cov_06_11,2020-06-11
cov_06_12,2020-06-12
cov_06_13,2020-06-13
cov_06_14,2020-06-14
cov_06_15,2020-06-15
cov_06_16,2020-06-16
cov_06_17,2020-06-17
cov_06_18,2020-06-18
cov_06_19,2020-06-19
cov_06_20,2020-06-20
cov_06_21,2020-06-21
cov_06_22,2020-06-22
cov_06_23,2020-06-23
cov_06_24,2020-06-24
cov_06_25,2020-06-25
cov_06_26,2020-06-26
cov_06_27,2020-06-27
cov_06_28,2020-06-28
cov_06_29,2020-06-29
cov_06_30,2020-06-30
cov_07_01,2020-07-01
cov_07_02,2020-07-02
cov_07_03,2020-07-03
