volcano_na,latitude,longitude,duration,BTime,ETime
Soputan,1.112,124.737,"10",2020/03/23 00:00:00,2020/04/02 00:00:00
San Miguel,13.434,-88.269,"0",2020/02/22 00:00:00,2020/02/22 00:00:00
Fournaise,-21.244,55.708,"56",2020/02/10 00:00:00,2020/04/06 00:00:00
Rincon de la Vieja,10.83,-85.324,"77",2020/01/31 00:00:00,2020/04/17 00:00:00
Fernandina,-0.37,-91.55,"0",2020/01/12 00:00:00,2020/01/12 00:00:00
Taal,14.002,120.993,"10",2020/01/12 00:00:00,2020/01/22 00:00:00
Kuchinoerabujima,30.443,130.217,"97",2020/01/11 00:00:00,2020/04/17 00:00:00
Whakaari/White Island,-37.52,177.18,"0",2019/12/09 00:00:00,2019/12/09 00:00:00
Semisopochnoi,51.93,179.58,"99",2019/12/07 00:00:00,2020/03/15 00:00:00
Nishinoshima,27.247,140.874,"134",2019/12/05 00:00:00,2020/04/17 00:00:00
Cleveland,52.825,-169.944,"30",2019/11/07 00:00:00,2019/12/07 00:00:00
Kikai,30.793,130.305,"166",2019/11/02 00:00:00,2020/04/16 00:00:00
Klyuchevskoy,56.056,160.642,"176",2019/10/24 00:00:00,2020/04/17 00:00:00
Lateiki,-19.18,-174.87,"9",2019/10/13 00:00:00,2019/10/22 00:00:00
Asamayama,36.406,138.523,"18",2019/08/07 00:00:00,2019/08/25 00:00:00
Copahue,-37.856,-71.183,"102",2019/08/02 00:00:00,2019/11/12 00:00:00
Tangkuban Parahu,-6.77,107.6,"53",2019/07/26 00:00:00,2019/09/17 00:00:00
Shishaldin,54.756,-163.97,"261",2019/07/23 00:00:00,2020/04/09 00:00:00
Ruiz,4.892,-75.324,"265",2019/07/23 00:00:00,2020/04/13 00:00:00
Semisopochnoi,51.93,179.58,"39",2019/07/16 00:00:00,2019/08/24 00:00:00
Ulawun,-5.05,151.33,"101",2019/06/26 00:00:00,2019/10/05 00:00:00
Ubinas,-16.355,-70.903,"183",2019/06/24 00:00:00,2019/12/24 00:00:00
Raikoke,48.292,153.25,"9",2019/06/22 00:00:00,2019/07/01 00:00:00
Fournaise,-21.244,55.708,"138",2019/06/11 00:00:00,2019/10/27 00:00:00
Great Sitkin,52.076,-176.13,"6",2019/06/01 00:00:00,2019/06/07 00:00:00
Sarychev Peak,48.092,153.2,"144",2019/05/16 00:00:00,2019/10/07 00:00:00
Colima,19.514,-103.62,"62",2019/05/11 00:00:00,2019/07/12 00:00:00
Asosan,32.884,131.104,"367",2019/04/16 00:00:00,2020/04/17 00:00:00
Klyuchevskoy,56.056,160.642,"84",2019/04/09 00:00:00,2019/07/02 00:00:00
Sangay,-2.005,-78.341,"388",2019/03/26 00:00:00,2020/04/17 00:00:00
San Cristobal,12.702,-87.004,"0",2019/03/04 00:00:00,2019/03/04 00:00:00
Fournaise,-21.244,55.708,"20",2019/02/18 00:00:00,2019/03/10 00:00:00
Tengger Caldera,-7.942,112.95,"160",2019/02/18 00:00:00,2019/07/28 00:00:00
Karymsky,54.049,159.443,"220",2019/02/16 00:00:00,2019/09/24 00:00:00
Poas,10.2,-84.233,"235",2019/02/07 00:00:00,2019/09/30 00:00:00
Sinabung,3.17,98.392,"123",2019/02/06 00:00:00,2019/06/09 00:00:00
Tinakula,-10.386,165.804,"490",2018/12/08 00:00:00,2020/04/11 00:00:00
Karangetang,2.781,125.407,"509",2018/11/25 00:00:00,2020/04/17 00:00:00
Planchon-Peteroa,-35.223,-70.568,"181",2018/11/07 00:00:00,2019/05/07 00:00:00
Ruiz,4.892,-75.324,"0",2018/10/26 00:00:00,2018/10/26 00:00:00
Kuchinoerabujima,30.443,130.217,"105",2018/10/21 00:00:00,2019/02/03 00:00:00
Gamalama,0.8,127.33,"2",2018/10/04 00:00:00,2018/10/06 00:00:00
Soputan,1.112,124.737,"75",2018/10/02 00:00:00,2018/12/16 00:00:00
Barren Island,12.278,93.858,"569",2018/09/25 00:00:00,2020/04/16 00:00:00
Ulawun,-5.05,151.33,"21",2018/09/21 00:00:00,2018/10/12 00:00:00
Ketoi,47.35,152.475,"0",2018/09/21 00:00:00,2018/09/21 00:00:00
Sarychev Peak,48.092,153.2,"37",2018/09/08 00:00:00,2018/10/15 00:00:00
Semisopochnoi,51.93,179.58,"53",2018/09/08 00:00:00,2018/10/31 00:00:00
Veniaminof,56.17,-159.38,"110",2018/09/04 00:00:00,2018/12/23 00:00:00
Alaid,50.861,155.565,"1",2018/08/20 00:00:00,2018/08/21 00:00:00
Sangay,-2.005,-78.341,"121",2018/08/08 00:00:00,2018/12/07 00:00:00
Rincon de la Vieja,10.83,-85.324,"318",2018/07/28 00:00:00,2019/06/11 00:00:00
Nishinoshima,27.247,140.874,"9",2018/07/12 00:00:00,2018/07/21 00:00:00
Mayotte,-12.83,45.17,"413",2018/07/03 00:00:00,2019/08/20 00:00:00
Negra,-0.83,-91.17,"58",2018/06/26 00:00:00,2018/08/23 00:00:00
Telica,12.606,-86.84,"55",2018/06/21 00:00:00,2018/08/15 00:00:00
Krakatau,-6.102,105.423,"669",2018/06/18 00:00:00,2020/04/17 00:00:00
Fernandina,-0.37,-91.55,"5",2018/06/16 00:00:00,2018/06/21 00:00:00
Great Sitkin,52.076,-176.13,"62",2018/06/10 00:00:00,2018/08/11 00:00:00
Ulawun,-5.05,151.33,"0",2018/06/08 00:00:00,2018/06/08 00:00:00
Merapi,-7.54,110.446,"707",2018/05/11 00:00:00,2020/04/17 00:00:00
Karymsky,54.049,159.443,"155",2018/04/28 00:00:00,2018/09/30 00:00:00
Marapi,-0.38,100.474,"5",2018/04/27 00:00:00,2018/05/02 00:00:00
San Cristobal,12.702,-87.004,"0",2018/04/22 00:00:00,2018/04/22 00:00:00
Kerinci,-1.697,101.264,"727",2018/04/21 00:00:00,2020/04/17 00:00:00
Nyamuragira,-1.408,29.2,"720",2018/04/18 00:00:00,2020/04/07 00:00:00
Fournaise,-21.244,55.708,"212",2018/04/03 00:00:00,2018/11/01 00:00:00
Dieng Volcanic Complex,-7.2,109.879,"0",2018/04/01 00:00:00,2018/04/01 00:00:00
Kirishimayama,31.934,130.862,"118",2018/03/01 00:00:00,2018/06/27 00:00:00
Sangay,-2.005,-78.341,"0",2018/02/25 00:00:00,2018/02/25 00:00:00
Karangetang,2.781,125.407,"0",2018/02/02 00:00:00,2018/02/02 00:00:00
Kusatsu-Shiranesan,36.618,138.528,"0",2018/01/23 00:00:00,2018/01/23 00:00:00
San Miguel,13.434,-88.269,"136",2018/01/14 00:00:00,2018/05/30 00:00:00
Mayon,13.257,123.685,"637",2018/01/13 00:00:00,2019/10/12 00:00:00
Kadovar,-3.608,144.588,"833",2018/01/05 00:00:00,2020/04/17 00:00:00
Ruiz,4.892,-75.324,"0",2017/12/18 00:00:00,2017/12/18 00:00:00
Kanlaon,10.412,123.132,"0",2017/12/09 00:00:00,2017/12/09 00:00:00
Agung,-8.343,115.508,"569",2017/11/21 00:00:00,2019/06/13 00:00:00
Dempo,-4.016,103.121,"0",2017/11/09 00:00:00,2017/11/09 00:00:00
Tinakula,-10.386,165.804,"5",2017/10/21 00:00:00,2017/10/26 00:00:00
Sarychev Peak,48.092,153.2,"32",2017/10/12 00:00:00,2017/11/13 00:00:00
Kirishimayama,31.934,130.862,"6",2017/10/11 00:00:00,2017/10/17 00:00:00
Ambae,-15.389,167.835,"419",2017/09/06 00:00:00,2018/10/30 00:00:00
Fernandina,-0.37,-91.55,"3",2017/09/04 00:00:00,2017/09/07 00:00:00
San Cristobal,12.702,-87.004,"85",2017/08/18 00:00:00,2017/11/11 00:00:00
Kerinci,-1.697,101.264,"0",2017/08/13 00:00:00,2017/08/13 00:00:00
Sangay,-2.005,-78.341,"98",2017/07/20 00:00:00,2017/10/26 00:00:00
Sangeang Api,-8.2,119.07,"989",2017/07/15 00:00:00,2020/03/30 00:00:00
Fournaise,-21.244,55.708,"45",2017/07/14 00:00:00,2017/08/28 00:00:00
Ulawun,-5.05,151.33,"145",2017/06/11 00:00:00,2017/11/03 00:00:00
Bulusan,12.769,124.056,"0",2017/06/05 00:00:00,2017/06/05 00:00:00
Marapi,-0.38,100.474,"0",2017/06/04 00:00:00,2017/06/04 00:00:00
Karymsky,54.049,159.443,"237",2017/06/04 00:00:00,2018/01/27 00:00:00
Copahue,-37.856,-71.183,"551",2017/06/04 00:00:00,2018/12/07 00:00:00
Rincon de la Vieja,10.83,-85.324,"296",2017/05/23 00:00:00,2018/03/15 00:00:00
Karangetang,2.781,125.407,"0",2017/05/10 00:00:00,2017/05/10 00:00:00
Dieng Volcanic Complex,-7.2,109.879,"63",2017/04/30 00:00:00,2017/07/02 00:00:00
Nishinoshima,27.247,140.874,"121",2017/04/18 00:00:00,2017/08/17 00:00:00
Poas,10.2,-84.233,"208",2017/04/12 00:00:00,2017/11/06 00:00:00
Lengai,-2.764,35.914,"1080",2017/04/09 00:00:00,2020/03/24 00:00:00
Kick 'em Jenny,12.3,-61.64,"0",2017/03/29 00:00:00,2017/03/29 00:00:00
Aira,31.593,130.657,"1119",2017/03/25 00:00:00,2020/04/17 00:00:00
Kambalny,51.306,156.875,"17",2017/03/24 00:00:00,2017/04/10 00:00:00
Ebulobo,-8.817,121.191,"0",2017/03/12 00:00:00,2017/03/12 00:00:00
Krakatau,-6.102,105.423,"0",2017/02/19 00:00:00,2017/02/19 00:00:00
San Cristobal,12.702,-87.004,"60",2017/02/18 00:00:00,2017/04/19 00:00:00
Fournaise,-21.244,55.708,"27",2017/01/31 00:00:00,2017/02/27 00:00:00
Unnamed,-20.852,-175.55,"8",2017/01/23 00:00:00,2017/01/31 00:00:00
Barren Island,12.278,93.858,"121",2017/01/15 00:00:00,2017/05/16 00:00:00
San Miguel,13.434,-88.269,"0",2017/01/07 00:00:00,2017/01/07 00:00:00
Bogoslof,53.93,-168.03,"253",2016/12/20 00:00:00,2017/08/30 00:00:00
Chirinkotan,48.98,153.48,"129",2016/11/29 00:00:00,2017/04/07 00:00:00
Nyamuragira,-1.408,29.2,"156",2016/11/27 00:00:00,2017/05/02 00:00:00
Zhupanovsky,53.589,159.15,"0",2016/11/20 00:00:00,2016/11/20 00:00:00
Kerinci,-1.697,101.264,"6",2016/11/15 00:00:00,2016/11/21 00:00:00
Sabancaya,-15.787,-71.857,"1258",2016/11/06 00:00:00,2020/04/17 00:00:00
Ebeko,50.686,156.014,"1275",2016/10/20 00:00:00,2020/04/17 00:00:00
Ulawun,-5.05,151.33,"38",2016/10/11 00:00:00,2016/11/18 00:00:00
Asosan,32.884,131.104,"36",2016/10/07 00:00:00,2016/11/12 00:00:00
Karymsky,54.049,159.443,"3",2016/10/05 00:00:00,2016/10/08 00:00:00
Lengai,-2.764,35.914,"22",2016/09/21 00:00:00,2016/10/13 00:00:00
Whakaari/White Island,-37.52,177.18,"0",2016/09/13 00:00:00,2016/09/13 00:00:00
Ubinas,-16.355,-70.903,"170",2016/09/13 00:00:00,2017/03/02 00:00:00
Fournaise,-21.244,55.708,"7",2016/09/11 00:00:00,2016/09/18 00:00:00
Gamalama,0.8,127.33,"1",2016/08/03 00:00:00,2016/08/04 00:00:00
Rinjani,-8.42,116.47,"57",2016/08/01 00:00:00,2016/09/27 00:00:00
Chikurachki,50.324,155.461,"22",2016/07/27 00:00:00,2016/08/18 00:00:00
San Miguel,13.434,-88.269,"0",2016/06/18 00:00:00,2016/06/18 00:00:00
Bulusan,12.769,124.056,"265",2016/06/10 00:00:00,2017/03/02 00:00:00
Poas,10.2,-84.233,"72",2016/06/05 00:00:00,2016/08/16 00:00:00
Fournaise,-21.244,55.708,"1",2016/05/26 00:00:00,2016/05/27 00:00:00
Whakaari/White Island,-37.52,177.18,"0",2016/04/27 00:00:00,2016/04/27 00:00:00
Bristol Island,-59.017,-26.533,"86",2016/04/24 00:00:00,2016/07/19 00:00:00
San Cristobal,12.702,-87.004,"0",2016/04/22 00:00:00,2016/04/22 00:00:00
Cleveland,52.825,-169.944,"1005",2016/04/16 00:00:00,2019/01/16 00:00:00
Langila,-5.525,148.42,"941",2016/04/02 00:00:00,2018/10/30 00:00:00
Kerinci,-1.697,101.264,"70",2016/03/31 00:00:00,2016/06/09 00:00:00
Zavodovski,-56.3,-27.57,"47",2016/03/30 00:00:00,2016/05/16 00:00:00
Chikurachki,50.324,155.461,"2",2016/03/29 00:00:00,2016/03/31 00:00:00
Pavlof,55.417,-161.894,"125",2016/03/27 00:00:00,2016/07/30 00:00:00
Sangay,-2.005,-78.341,"237",2016/03/25 00:00:00,2016/11/17 00:00:00
